Time;Time in ms;gx;gy;gz;ax;ay;az;magx;magy;magz;baro;head;angx;angy;debug1;debug2;debug3;debug4;GPS_distanceToHome;GPS_directionToHome;GPS_altitude;GPS_fix;GPS_numSat;GPS_speed;GPS_update;GPS_latitude;GPS_longitude;cycleTime;i2cError;rcThrottle;rcYaw;rcRoll;rcPitch;rcAUX1;rcAUX2;rcAUX3;rcAUX4;Motor1;Motor2;Motor3;Motor4;Motor5;Motor6;Motor7;Motor8;
2014_02_23_09_38_18;1393144698586;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.89;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_18;1393144698609;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.89;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_18;1393144698628;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.89;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_18;1393144698650;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.89;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_18;1393144698660;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_18;1393144698684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.91;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_18;1393144698689;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.91;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_18;1393144698711;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.91;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_18;1393144698768;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.91;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_18;1393144698778;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.91;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_18;1393144698814;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.91;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_18;1393144698834;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.93;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_18;1393144698851;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.93;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_18;1393144698872;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.93;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_18;1393144698899;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.93;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_18;1393144698918;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.93;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_18;1393144698939;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.93;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_18;1393144698961;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.94;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_18;1393144698986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.94;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699030;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
